Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,463000,115000,7,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,479000,75884,7,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,726000,33968,4,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,479000,83450,7,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,579000,73762,5,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,454000,61802,8,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,486000,75600,7,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,505000,100000,6,Hyderabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,490000,55080,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,575000,41416,5,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,491000,50747,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,468000,114000,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,507000,22000,7,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,535000,34000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,550000,89778,6,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,533000,37760,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,615000,51655,5,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,524000,57000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,487000,60000,7,Thane
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,562000,65334,6,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,447000,70000,9,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,629000,27500,5,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,524000,58000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,622000,39500,5,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,533000,37000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,499000,27838,7,Thane
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,421000,74596,9,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,527000,55322,6,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,572000,52000,5,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,579000,22356,6,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,462000,46000,8,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,497000,40000,7,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,509000,13600,7,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,527000,75059,7,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,568000,56052,6,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,526000,99026,7,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,596000,67354,8,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,522000,76121,7,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,543000,24935,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,667000,48887,5,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,583000,65806,7,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,542000,44956,8,Delhi
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,521000,99000,7,Ambala
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,597000,43617,8,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,614000,33873,5,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,608000,28000,5,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,608000,41416,5,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,569000,42000,6,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,460000,43000,9,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,593000,31000,8,Kolkata
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,566000,64000,6,Kharagpur
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,545000,36118,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,620000,89778,6,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,544000,60000,7,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,632000,39500,5,Mumbai
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,565000,55329,6,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,568000,44226,6,Pune
Maruti Suzuki,Baleno,Alpha 1.2[2015-2019],Manual,Petrol,566000,27497,6,Pune
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,468000,59000,7,Bangalore
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,566000,63000,4,Chennai
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,476000,42000,7,Delhi
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,495000,16000,6,Hyderabad
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,534000,18844,6,Mumbai
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,525000,36955,6,Mumbai
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,534000,20000,6,Mumbai
Maruti Suzuki,Ignis,Alpha 1.2 AMT,Automatic (AMT),Petrol,534000,18936,6,Mumbai
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,451000,40699,7,Bangalore
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,537000,47415,5,Bangalore
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,586000,52000,3,Mohali
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,415000,37000,7,Chennai
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,413000,52000,7,Faridabad
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,421000,31000,7,Kolkata
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,447000,49000,7,Mumbai
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,406000,57000,7,Pune
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,454000,43443,6,Kolkata
Maruti Suzuki,Ignis,Alpha 1.2 MT,Manual,Petrol,421000,34421,7,Pune
Maruti Suzuki,S-Cross,Alpha 1.3[2014-2017],Manual,Diesel,544000,72000,6,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,562000,23555,4,Ahmedabad
Maruti Suzuki,Baleno,Alpha 1.3[2015-2019],Manual,Diesel,525000,78500,5,Bangalore
