,Make,Model,Variant,Transmission,Fuel Type,Price_numeric,Distance_numeric,Age,City
1499,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,469000.0,43925,7,Delhi
1500,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,567000.0,38000,5,Delhi
1501,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,474000.0,49306,6,Kolkata
1502,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,632000.0,25549,3,Kolkata
1503,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,516000.0,41000,6,Mumbai
1504,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,480000.0,21300,7,Mumbai
1505,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,469000.0,51277,6,Pune
1506,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,465000.0,55505,6,Pune
1507,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,462000.0,51872,7,Pune
1508,Maruti Suzuki,Ciaz,Sigma 1.4 MT[2017-2018],Manual,Petrol,509000.0,51277,6,Pune
1509,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,594000.0,12200,5,Bangalore
1510,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,559000.0,71283,5,Delhi
1511,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,506000.0,78000,6,Delhi
1512,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,513000.0,64000,6,Delhi
1513,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,472000.0,63000,6,Hyderabad
1514,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,519000.0,53000,6,Mumbai
1515,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,536000.0,22000,6,Mumbai
1516,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,494000.0,22000,6,Pune
1517,Maruti Suzuki,Ciaz,Sigma Hybrid 1.5 [2018-2020],Manual,Petrol,543000.0,20000,5,Kolkata
1518,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,378000.0,62000,9,Ahmedabad
1519,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,357000.0,58000,10,Ahmedabad
1520,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,343000.0,104000,10,Ahmedabad
1521,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,427000.0,60000,8,Bangalore
1522,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,429000.0,77000,7,Chandigarh
1523,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,373000.0,73000,9,Mohali
1524,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,335000.0,133516,10,Coimbatore
1525,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,369000.0,72289,10,Delhi
1526,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,343000.0,91000,10,Lucknow
1527,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,360000.0,119410,9,Lucknow
1528,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,446000.0,94000,7,Delhi
1529,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,371000.0,67000,10,Delhi
1530,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,374000.0,56000,10,Delhi
1531,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,396000.0,70000,9,Delhi
1532,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,343000.0,168000,10,Delhi
1533,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,396000.0,76000,8,Gurgaon
1534,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,384000.0,131766,8,Hyderabad
1535,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,350000.0,88257,10,Hyderabad
1536,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,350000.0,75000,10,Hyderabad
1537,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,364000.0,105000,9,Hyderabad
1538,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,342000.0,102234,10,Hyderabad
1539,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,414000.0,112000,7,Hyderabad
1540,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,359000.0,125000,9,Hyderabad
1541,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,381000.0,140000,8,Hyderabad
1542,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,381000.0,45100,9,Kolkata
1543,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,421000.0,8536,8,Kolkata
1544,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,379000.0,52000,9,Kolkata
1545,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,455000.0,70053,7,Mumbai
1546,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,457000.0,65000,7,Mumbai
1547,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,391000.0,85000,9,Mumbai
1548,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,362000.0,117000,9,Pune
1549,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,409000.0,117000,7,Pune
1550,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,388000.0,99000,8,Pune
1551,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,342000.0,100668,10,Pune
1552,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,350000.0,170000,9,Pune
1553,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,397000.0,96791,9,Chandigarh
1554,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,566000.0,77000,7,Chandigarh
1555,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,379000.0,125947,10,Chandigarh
1556,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,402000.0,73000,9,Mohali
1557,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,542000.0,48000,8,Kolkata
1558,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,543000.0,65000,8,Kolkata
1559,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,402000.0,45100,9,Kolkata
1560,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,400000.0,52000,9,Kolkata
1561,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,408000.0,176213,10,Mumbai
1562,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,537000.0,99000,8,Pune
1563,Maruti Suzuki,Swift DZire,VDI[2011-2015],Manual,Diesel,379000.0,94000,10,Pune
1564,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,666000.0,54000,7,Ahmedabad
1565,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,580000.0,63500,9,Ahmedabad
1566,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,690000.0,92000,6,Ahmedabad
1567,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,615000.0,65000,8,Ahmedabad
1568,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,652000.0,68000,7,Ahmedabad
1569,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,689000.0,83950,7,Bangalore
1570,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,558000.0,125000,9,Chennai
1571,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,643000.0,89000,8,Delhi
1572,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,652000.0,69000,8,Delhi
1573,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,699000.0,65000,7,Delhi
1574,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,652000.0,78000,7,Gurgaon
1575,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,650000.0,78000,7,Hyderabad
1576,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,637000.0,108000,7,Hyderabad
1577,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,678000.0,110889,6,Hyderabad
1578,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,607000.0,93000,8,Hyderabad
1579,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,590000.0,120000,8,Hyderabad
1580,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,623000.0,52000,8,Kolkata
1581,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,668000.0,50000,7,Kolkata
1582,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,676000.0,33000,7,Kolkata
1583,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,610000.0,72529,9,Mumbai
1584,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,693000.0,76559,7,Mumbai
1585,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,621000.0,133396,8,Mumbai
1586,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,658000.0,58303,8,Mumbai
1587,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,716000.0,34000,7,Mumbai
1588,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,645000.0,83215,8,Mumbai
1589,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,807000.0,58000,5,Mumbai
1590,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,605000.0,84000,9,Mumbai
1591,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,617000.0,74499,8,Thane
1592,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,695000.0,72000,7,Mumbai
1593,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,814000.0,47284,5,Mumbai
1594,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,686000.0,88000,6,Pune
1595,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,605000.0,84614,8,Pune
1596,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,690000.0,89000,6,Pune
1597,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,605000.0,86000,8,Pune
1598,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,715000.0,66000,8,Delhi
1599,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,726000.0,98783,9,Chandigarh
1600,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,705000.0,50000,7,Kolkata
1601,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,661000.0,52000,8,Kolkata
1602,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,701000.0,91000,7,Kolkata
1603,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,802000.0,56000,5,Kolkata
1604,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,815000.0,41165,6,Mumbai
1605,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,813000.0,51879,6,Mumbai
1606,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,881000.0,58000,5,Mumbai
1607,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,814000.0,89000,6,Mumbai
1608,Maruti Suzuki,Ertiga,VDI SHVS[2015-2018],Manual,Diesel,752000.0,88000,6,Pune
